duty,name,require
"负责企业微信互通相关的产品策划工作， 具体包括但不限于互通内功能模块的策略制定、功能设计及推动上线等；
 对所负责模块进行数据、及用户行为/反馈跟进，制定优化策略；
了解和分析具体行业的员工对外沟通的工作场景，能将互通方案落到具体行业满足行业诉求。",WXG10-113 企业微信后台开发工程师（广州）,"本科及以上学历，2年以上互联网产品策划工作经验，很强的逻辑能力、系统思考能力并具优秀产品意识；
有企业产品背景更佳，有CRM、电销类、客服类产品相关经验最佳；
 对零售、教育、金融、B2B等行业有较深入了解者优先。"
"负责社交网络代码覆盖率及敏捷测试系统的建设和研发；
负责已有相关工具的稳定运营与迭代，可以快速定位解决内部线上突发问题；
可以独立承担调研与研发任务，完成工具设计，功能开发，测试验证和内部上线，确保质量和效率。",WXG10-113 企业微信后台开发工程师（广州）,"本科及以上学历，计算机相关专业；
2年及以上相关工作开发经验；
熟练掌握Python，C/C++，Java／PHP；
熟悉编译工作原理，代码语法树，静态代码分析，代码覆盖率工具；
熟悉Linux操作系统；
在性能优化，数据处理，设计模式等方面有深入理解和实践；
有较好的沟通能力，工作责任心和自驱力，能够在一定范围内独立驱动，负责，承担，解决相关问题的意愿和能力。"
负责腾讯新企业产品策划工作， 负责产品的设计、运营。,WXG10-113 企业微信后台开发工程师（广州）,3年以上互联网产品策划工作经验，熟悉企业产品的运作方式，有成熟企业产品背景更佳 有很强的产品分析能力，沟通能力及创新精神 如有团队协作类产品的策划经验或是其中的深度使用者会是加分项，有优秀的团队合作精神以及执行能力，勇于承担高压力的工作
"负责网址安全的后台服务。
服务公司内的所有产品，同时将安全能力本地化，服务反欺诈场景。",TEG10-高级规划工程师(深圳),"计算机或相关专业，本科以上学历；
2年以上相关工作经验；
熟悉linux/unix系统与开发环境，熟悉mysql以及SQL语言；
熟悉linux下C/C++开发，掌握linux下TCP/UDP网络编程技术；
熟悉linux下多进程/多线程并发程序设计；
责任感强、品行端正、性格开朗，思维活跃、推理能力、逻辑思维强；
有安全从业经验、海量数据挖掘分析、机器学习经验者优先考虑。"
"1、提高虚拟化安全能力，推动相关防护措施落地；
2、研究虚拟化相关安全漏洞；
3、研发虚拟化安全相关工具。",TEG10-高级规划工程师(深圳),"1、熟悉Linux安全防御思路和措施；
2、熟悉Linux相关安全漏洞和利用方法；
3、熟悉服务器硬件相关的安全漏洞、利用及防御；
4、熟悉云计算平台虚拟化相关安全漏洞和防护措施；
5、熟悉主流Linux安全相关产品和工具。  通过腾讯云技术认证或同等资格认证的优先录取。"
负责腾讯微视APP业务后台架构设计和开发；,TEG10-高级规划工程师(深圳),"1、熟练掌握C、C++语法，深入理解其特性，同时掌握go更好。
2、熟悉常用数据结构和算法。 
3、熟练掌握SQL语言，能够对数据库、SQL进行基本的调优，具备mysql数据库的使用经验，对业界的kv组件有一定的了解。 
4、熟练掌握HTTP/HTTPS协议，理解TCP/IP协议，并具备linux下的网络服务编程经验。 
5、良好的调试功底，能熟练使用GDB工具，能独立分析coredump并解决问题。
6、有较强的责任心和良好的沟通协作和抗压能力。
"
"涉及境内与跨境网络支付或金融科技类监管政策的资质申请、政策解读、政策执行与优惠类政策争取及各项政府事务等；
对口各地金融监管部门处理涉及腾讯支付业务、金融科技等执法检查、非现场调查、专项调研及各类政府关系事务；
协助内部相关部门推动各项金融监管政策的执行与合规管理类事务、跟踪并研究涉及金融科技类最新监管政策事项。
",TEG10-高级规划工程师(深圳),"本科及以上学历，经济金融、法律类相关专业；
5年以上支付机构或银行、证券、保险等相关部门政府外联、合规管理或风险控制工作经验；
熟悉支付机构监管事务及金融监管部门办事流程，熟悉金融监管部门办事流程与各项事务，具有监管部门工作经验者优先；
具备较强的项目管理能力、执行能力与团队合作精神；
正直踏实，工作态度积极进取；
有一定的文笔功底，能处理各类政府公文及相关报告，熟悉工商、税务、金融监管等工作流程，可适应较为频繁出差工作。
"
"负责大型项目移动端前端页面、前端组件的编写，WEB 开发工作；
参与日常产品特性的讨论，评估项目的可行性，负责项目从原型到开发、测试、发布。",TEG10-高级规划工程师(深圳),"本科及以上学历，对互联网行业有浓厚兴趣；
3 年以上前端开发工作经验；
精通 HTML、CSS、JavaScript，熟悉 http 协议，熟练使用 svn, git, grunt, gulp 等版本管理或构建工具；
熟悉业界流行开发框架例如 backbone, angularjs, reactjs 等优先；
熟悉 nodejs，有 nodejs 开发经验优先；
具备优秀的沟通和协调能力，良好的服务精神及团队合作能力，责任心强。

腾云公司是腾讯公司控股，与云南省投资控股集团、云南省交通投资建设集团三方共同成立的合资公司。
腾云公司以成为云南旅游数字化生态综合运营商为己任，依托大数据、云计算、物联网、AI技术，倾力打造 “中国第一、世界一流”的全域旅游智慧数字化平台，助推云南省旅游产业转型升级，擦亮云南旅游品牌，提升和实现下一代旅游体验和智慧生活，让云南旅游“自由自在、无处不在”。  通过腾讯云技术认证或同等资格认证的优先录取。"
"负责客户项目的后台开发与运营；
负责直后台 server 架构设计、开发、优化、运营工作；
负责 mysql／mongodb／hbase 数据库底层研究和特性开发；
负责云数据库和云 cache 产品的架构优化；
负责腾讯云平台的数据库后台研发工作；",TEG10-高级规划工程师(深圳),"计算机相关专业本科以上学历；
3 年以上工作经验；
熟悉 Linux 环境下的 C/C++开发，具有较好的系统分析设计能力；
熟悉 Linux 网络编程、熟悉互联网业务开发；
具备大型分布式系统后台研发经验，对 Mysql、MongoDB、SqlServer、大数据系统有任一经验者优先；
积极进取、诚实正直、责任心强，有较好的沟通能力；
有后台服务运营类项目研发管理经验。

腾云公司是腾讯公司控股，与云南省投资控股集团、云南省交通投资建设集团三方共同成立的合资公司。
腾云公司以成为云南旅游数字化生态综合运营商为己任，依托大数据、云计算、物联网、AI技术，倾力打造 “中国第一、世界一流”的全域旅游智慧数字化平台，助推云南省旅游产业转型升级，擦亮云南旅游品牌，提升和实现下一代旅游体验和智慧生活，让云南旅游“自由自在、无处不在”。  通过腾讯云技术认证或同等资格认证的优先录取。"
"负责营销广告相关产品的交互与创新设计；
有完整的项目经验，能从系统的角度，提出交互设计方法；
设定平台的整体交互模式，保证产品交互的可用、易用与行为方式的一致性，参与界面规范的制定并且推动实施；
乐于分享设计经验，推动提高团队的设计能力。
",TEG10-高级规划工程师(深圳),"3年以上互联网产品设计的工作经验（有ToB相关行业的经验更佳）；
能够提供高质量的产品原型、流程图、线框图等清晰地阐述设计方案；
熟练运用交互设计的各种方法，具备成熟的交互设计思维与优秀的创新意识；
具备较好的视觉设计功底，能够熟练操作sketch、ps等设计软件，输出高保真设计方案；
逻辑思维能力强，具备良好的合作态度及团队精神；
对用户体验有深刻理解，对产品的体验优化有敏锐的把握能力；
乐观积极、学习能力强。"
