和平精英,http://app.mi.com/details?id=com.tencent.tmgp.pubgmhd
迷你世界,http://app.mi.com/details?id=com.minitech.miniworld.TMobile.mi
王者荣耀,http://app.mi.com/details?id=com.tencent.tmgp.sgame
我的世界-村庄保卫战,http://app.mi.com/details?id=com.netease.mc.mi
猫和老鼠,http://app.mi.com/details?id=com.netease.tom.mi
穿越火线-枪战王者,http://app.mi.com/details?id=com.tencent.tmgp.cf
QQ飞车手游,http://app.mi.com/details?id=com.tencent.tmgp.speedmobile
逃跑吧！少年-躲猫猫,http://app.mi.com/details?id=com.bairimeng.dmmdzz.mi
量子特攻,http://app.mi.com/details?id=com.netease.lztg1.mi
汤姆猫跑酷,http://app.mi.com/details?id=com.outfit7.talkingtomgoldrun.mi
第五人格,http://app.mi.com/details?id=com.netease.dwrg.mi
球球大作战,http://app.mi.com/details?id=com.ztgame.bob
元气骑士,http://app.mi.com/details?id=com.knight.union.mi
火影忍者-疾风传,http://app.mi.com/details?id=com.tencent.KiHan
开心消消乐-中秋有礼,http://app.mi.com/details?id=com.happyelements.AndroidAnimal
贪吃蛇大作战&reg;,http://app.mi.com/details?id=com.wepie.snake.new.mi
樱花校园模拟器(中文版),http://app.mi.com/details?id=jp.garud.ssimulator.mt
天天酷跑,http://app.mi.com/details?id=com.tencent.pao
王牌战士,http://app.mi.com/details?id=com.tencent.af
明日之后,http://app.mi.com/details?id=com.netease.mrzh.mi
激斗火柴人,http://app.mi.com/details?id=com.example.gcloudu3ddemo.mi
欢快斗地主,http://app.mi.com/details?id=com.mailin.hkddz.mi
部落冲突,http://app.mi.com/details?id=com.supercell.clashofclans.mi
生死狙击,http://app.mi.com/details?id=com.wooduan.ssjj.mi
植物大战僵尸2,http://app.mi.com/details?id=com.popcap.pvz2cthdxm
皇室战争,http://app.mi.com/details?id=com.supercell.clashroyale.mi
我的汤姆猫2,http://app.mi.com/details?id=com.outfit7.mytalkingtom2.mi
恐怖奶奶,http://app.mi.com/details?id=com.dvloper.granny.fhp
地铁跑酷,http://app.mi.com/details?id=com.kiloo.subwaysurf
钢琴块2,http://app.mi.com/details?id=com.cmplay.tiles2_cn.mi
奇葩战斗家,http://app.mi.com/details?id=com.leiting.daluandou.mi
恐怖奶奶2,http://app.mi.com/details?id=com.dvloper.grannychaptertwo.bnn
乐高无限,http://app.mi.com/details?id=com.tencent.LEGOCUBE
英魂之刃,http://app.mi.com/details?id=com.nd.he.mi
植物大战僵尸,http://app.mi.com/details?id=com.pvz.nb
节奏大师,http://app.mi.com/details?id=com.tencent.game.rhythmmaster
斗罗大陆-送武魂,http://app.mi.com/details?id=com.m37.dldl.mi
荒野行动,http://app.mi.com/details?id=com.netease.hyxd.mi
僵尸捕手（中文版）,http://app.mi.com/details?id=fi.twomenandadog.zombiecatchers.dbzq.m
创造与魔法,http://app.mi.com/details?id=com.hero.sm.mi
JJ斗地主,http://app.mi.com/details?id=cn.jj
欢乐麻将全集,http://app.mi.com/details?id=com.qqgame.happymj
